fname,speaker,seq,utter,stime,etime,wcount,emotion,senti,key_phrase
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,B,17,"So plenty of patient, I would say probably at least.",195,201,10,Fear,Neutral,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,A,18,"Okay, so about 15 then. Alright. And then how many would be on a typical leis?",202,212,16,Fear,Positive,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,B,19,I see it pretty routinely. So I would probably say the other 15.,222,233,13,Fear,Positive,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,A,20,"Okay, so half and half now a portion those 15 among the three Leis that are listed. Bellify, maintain it in Vegas, Asana and Arista. How many would be on each of those? I.",234,252,34,Fear,Positive,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,B,21,Feel like we routinely see more of the Abilify versus the other two. So I would say the majority of them are Abilify.,254,262,23,Surprise,Positive,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,A,22,"Okay, so we're talking 10, 12, 14.",263,269,7,Happy,Positive,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,B,23,"I would say on the 15, probably 12 or Abilify and the other three. I was there. I'm a site.",271,279,20,Fear,Neutral,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,A,24,Okay. And no one never started. Then I.,280,284,8,Happy,Negative,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,B,25,Can'T answer that too often.,286,288,5,Happy,Neutral,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,A,26,All right. Now same exercise for the bipolar patients. 50 of those. How many of those 50 would be on oral antipsychotics?,288,297,22,Fear,Neutral,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,B,27,I would say higher like 30 to 40.,297,302,8,Surprise,Positive,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,A,28,Alright. And how many would be on long acting injectables.,303,307,10,Fear,Positive,long acting injectables
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,B,29,"Long? The thing here, those are used very I guess they would say cautiously, they probably need to be utilized more just for compliance reasons.",310,326,25,Surprise,Neutral,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,A,30,I.,326,326,1,Happy,Neutral,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,B,31,"Would say that's very rare. So of the the number, I would say here is a small number.",329,336,18,Fear,Positive,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,A,32,"Okay, how many?",336,339,3,Happy,Positive,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,B,33,So what are we doing here?,339,343,6,Happy,Neutral,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,A,34,We're doing you have 50. So how many of those 50 then would be on long acting injectables? And your best guess is fine.,343,352,24,Surprise,Positive,long acting injectables
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,B,35,I'd say five return.,353,356,4,Surprise,Neutral,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,A,36,Alright. And how would they be distributed among the three that are listed?,357,363,13,Fear,Positive,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,B,37,"I would say the majority are again, Abilify and someone probably this idea.",363,372,13,Fear,Neutral,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,A,38,"Okay, so how many on Abilify maintain it then.",373,377,9,Happy,Positive,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,B,39,"Of the 15, I would say probably Bernie to.",377,386,9,Fear,Neutral,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,A,40,"35 or a number a number, Let's say 30. Alright. So of the 50 bipolar one patients, 30 would be on Abilify maintainer.",388,402,23,Fear,Positive,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,B,41,Yes.,402,403,1,Sad,Positive,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,A,42,"Alright. I've missed something then. And I apologize. I understood you to say that 30 to 40 would be on the oral and that five to 10 would be on leis, what did I miss?",405,420,35,Sad,Negative,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,B,43,"Maybe I miss something. Hang on here. I said about 10, 10 will be on a long acting. That's a very small population.",422,433,23,Surprise,Negative,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,A,44,"Okay, so 10 of the 10 then. Right. So 10 would be on a long acting. So of the 10, how many would be on the bellify maintain? I.",434,444,29,Fear,Positive,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,B,45,Would say about 7.,447,449,4,Surprise,Neutral,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,A,46,7 to eight and then the other two or 3 would be on just to stand. Okay.,450,457,17,Fear,Positive,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,B,47,Excellent.,457,458,1,Happy,Positive,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,A,48,Thank you. Thank you for clearing it up for me. So let me ask you something. The majority of your patients are on oral. Why are not more patients on long acting injectables? I.,458,473,34,Sad,Positive,long acting injectables
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,B,49,Think it may be a I believe it's a class issue.,475,481,11,Surprise,Neutral,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,A,50,So cost any other reasons that they might not be on a long acting inject.,484,490,15,Angry,Neutral,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,B,51,"I also think, you know, it's really patient compliance. And if patients say their compliance, but Yeah, maybe when they walk out the door they're noted no one knows that. I don't know if the Lai has talked about is much with maybe patients and their support family members because if more people maybe knew about it, more people will be educating, probably for that action. Again, I don't know if it's if the reimbursement or any of the insurance piece behind it has to do with why it is frequently used. Maybe the Royals are a lot cheaper. Typically that's a common challenge or are much cheaper than injectible. I just think it would helpful patients compliance, quite honestly.",490,547,120,Fear,Positive,helpful patients
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,A,52,Alright. Now who administers the long acting injectable shots? That's something that you do or do other staff do that.,550,563,20,Fear,Positive,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,B,53,Now that will be done by registered nurses only.,563,566,9,Happy,Neutral,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,A,54,Okay. How often are you giving shots.,566,570,7,Fear,Positive,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,B,55,"Further, medication regimen could be a couple of times a week. Would be a couple of times a month if they have other injectables, but the lay aren't as frequently used in the acute setting.",573,589,35,Fear,Neutral,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,A,56,Alright.,591,592,1,Happy,Positive,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,B,57,Now.,593,593,1,Happy,Neutral,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,A,58,So where are the Leis given what's the injection site most commonly used?,595,603,13,Fear,Neutral,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,B,59,Usually God products.,604,606,3,Surprise,Positive,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,A,60,Alright. Is it the Dorso Glute site or the Ventura Glute.,607,612,11,Happy,Positive,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,B,61,Dorsal?,614,615,1,Happy,Neutral,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,A,62,Okay. Why is that the preferred site or the site that's most often used?,616,622,14,Happy,Positive,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,B,63,Because it's usually the media.,623,625,5,Happy,Neutral,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,A,64,The media. Is that a technical medical term? There.,628,634,9,Happy,Neutral,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,B,65,"Now, what's kind of my spring term? Sorry. No, there's enough. There's enough, et cetera.",635,646,15,Happy,Negative,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,A,66,So I'm going to say that I understand. I know what the term means. I was just curious. Is that a technical term or just a very appropriate term?,646,658,29,Surprise,Positive,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,B,67,It's a Wednesday morning term.,660,661,5,Happy,Neutral,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,A,68,"Okay. Excellent. Now, do you typically confirm injection safety? And by that, I mean that you've not hit a blood vessel or touch a nerve or something?",662,673,27,Fear,Positive,injection safety
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,B,69,Yes. Just like you would do with any other I am injection.,674,678,12,Sad,Positive,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,A,70,Okay. And how do they do that? How specifically is that done?,679,690,12,Happy,Positive,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,B,71,"Well, I have to use a specific needle size for for the I am injection. You inject it. You pull back on the syringe to make sure you don't see any kind of alot, etc, and then you inject.",691,707,39,Happy,Positive,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,A,72,"Okay. Good. Now, do you rotate injection sites for a specific patient? One month, maybe left next month? Right. Is that something that you do routinely?",708,721,26,Happy,Positive,injection sites
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,B,73,"Not really with this patient population. That would be for more like patients that get more like daily or patients that inject themselves with insulin, you know, a couple of times a day. So I would say not with this patient population. Really.",723,738,43,Surprise,Positive,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,A,74,"Okay. Now, see, now, when you're giving Abilify maintain injections, do you use the pre fill syringe or the single use files.",739,758,22,Fear,Positive,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,B,75,Prefilled frame?,761,764,2,Sad,Neutral,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,A,76,Alright. And what's the injection site that you typically use for the Abilify?,764,771,13,Happy,Positive,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,B,77,Maintain the glue deal area.,771,776,5,Surprise,Neutral,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,A,78,"Okay. Alright. Okay. Now what I want to do is to show you a profile for a new formulation for long acting injectable. Alright. But I want you to keep in mind the following, over the next six months or so, a number of new formulations are expected to come to the market. One of these is a six month formulation for Pale. Pardon? So that's not what we're going to talk about. But I want you to keep in mind that when the product we're going to talk about, which is I'll call X one, when it comes to the market that the six month formulation, Pale perdone will already be in the market. Okay. So just keep that fact a handle, right? Okay. So here is a product description for X one. Please take a moment and read through this and then we'll talk about it.",776,840,148,Fear,Positive,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,B,79,Okay. Okay.,840,949,2,Happy,Positive,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,A,80,Okay. What's your sort of initial reaction to this profile? What do you think?,950,957,14,Surprise,Positive,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,B,81,"I like the no exposed needle cream, post injection.",961,965,9,Angry,Positive,post injection
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,A,82,"Hello? Oh, my goodness. Oh. Okay. Anything else that you that you like or perhaps dislike about this?",990,1012,18,Happy,Positive,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,B,83,"I'm just rereading the statement about those things about taking the 14 consecutive days patients fortunate consecutive days of concurrent. Okay, so they're taking it concurrently with the orals got. It doesn't have to be refrigerated. That's a good thing.",1033,1073,40,Happy,Positive,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,A,84,"As you think about X one, what do you see is the most important benefit for your schizophrenia patient? What's the most important benefit for your bipolar patient?",1080,1092,28,Happy,Positive,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,B,85,"I think the most important, obviously, is the one per month.",1108,1113,11,Happy,Positive,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,A,86,What's the most important benefit for you? As the health care provider from product X one.,1132,1140,16,Happy,Positive,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,B,87,I would say that the safety piece of it.,1145,1150,9,Fear,Positive,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,A,88,Safety. In what sense?,1154,1156,4,Fear,Positive,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,B,89,No exposed needle. So it's less. Lots of the potential hands are to the health care provider.,1157,1165,17,Angry,Positive,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,A,90,"Okay, let me show you some information about the auto projector. Please read the information here. Okay.",1166,1180,17,Sad,Positive,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,B,91,That might be of an influence on. Okay.,1184,1239,8,Angry,Positive,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,A,92,What's your reaction to the auto injector?,1241,1244,7,Happy,Neutral,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,B,93,"Well, it looks very simple. Not a lot of steps, you know, to put it together, etc. Obviously, those things already in there. So from a teaching perspective, there's not a lot to be done. The color coding shows that Jeb was administered. So goes the white to the yellow. So again, they're simple. And to have the ability maybe for non sharp disposal. That's important, too.",1246,1289,67,Sad,Positive,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,A,94,What you particularly like about it? What might you dislike about it?,1293,1299,12,Angry,Positive,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,B,95,"I think it's appears pretty small because it fits in the it in the palm of your hand. Simple, easy to use.",1299,1315,22,Happy,Positive,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,A,96,Do you see any disadvantages?,1324,1328,5,Happy,Negative,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,B,97,"Obviously, there's no living on it. Probably for the purpose the best. Like I said, it kind of reminds me of in a panel in one in. So I don't know. Could that be mixed up for the type of medication it is? That would be my only thought on that.",1331,1360,51,Surprise,Positive,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,A,98,Okay. What you see is the advantages for your your patient. And are there any disadvantages for your patient with using the auto injector?,1360,1370,24,Happy,Positive,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,B,99,"I guess, you know, Besides the color coding, I mean, so if it's the clear where the medication is, you know, would there be some help in having some kind of verbiage in there? Full when it's clear and the yellow one is empty?",1376,1396,44,Sad,Positive,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,A,100,Who would that be for?,1397,1399,5,Fear,Neutral,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,B,101,"Why are we talking about this for patient self injection, or is this truly just for health care providers? Okay. Okay. Okay. So this is the future intensive at per patient administration?",1400,1414,32,Fear,Positive,patient self injection
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,A,102,No.,1414,1415,1,Happy,Neutral,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,B,103,Okay.,1416,1417,1,Happy,Positive,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,A,104,"Well, at least at this point.",1417,1419,6,Surprise,Positive,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,B,105,"Okay. That's wishful thinking on my part. Okay. Well, then if it's for health care provider, then do I see any what did you ask? Downside or any from the patient's perspective?",1420,1441,32,Surprise,Positive,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,A,106,"From the schizophrenia patient, from the bipolar patients perspective. What's the advantage for them? And is there any disadvantage for them?",1441,1449,21,Happy,Negative,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,B,107,"Well, I guess maybe an advantage would be they're not really seeing a needle per se, since it's all kind of hidden. So that could be a positive it's all contained.",1450,1469,31,Angry,Positive,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,A,108,Do you see any downside for the patient from their.,1479,1485,10,Happy,Negative,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,B,109,"Yeah, I guess maybe at times it could be a little hesitant. So maybe not really seeing the medication itself. I mean, I guess you could probably see the liquid in the clear area, maybe not believing something is there. But that could be the case for any medicine, I guess.",1492,1521,51,Surprise,Positive,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,A,110,With the availability of the auto injector increase your likelihood to offer this to a patient?,1531,1539,16,Fear,Positive,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,B,111,"I think so from a healthcare providers perspective, because I think safety with a general patient population, but specifically the whole population sometimes is a concern depending on how they're acting at the time. So having it also contained is really more from, I think, a positive to the health care provider side.",1542,1571,53,Surprise,Positive,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,A,112,Okay. How receptive do you think your patient would be do this?,1572,1577,12,Surprise,Positive,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,B,113,"I think it's just like any other medication that you're going to administer, trying to talk them through what the medication is, why they're getting it, giving them the five rights, just like you should with any type of patient or any type of medication administration, talking them through what it is, why it's important, why they're getting it. I don't think this would be any different from their perspective.",1579,1603,70,Fear,Positive,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,A,114,"Alright, now the injection site. What your thoughts on that?",1604,1612,10,Fear,Positive,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,B,115,"We said this was Metro Gloria, dorsal Giorgio. I mean, I think it's okay. I think, you know, sometimes it is nice to be able to do an injectable and there they're up around, but those are usually very small numbers that we administer there, like the flu vaccine, a technician, etcetera. So. And that's usually because of the quantity. So I guess. Is it. Is that a possibility in the future? I.",1614,1658,73,Surprise,Positive,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,A,116,"Don'T know. But for right now, it's an Im injection into the dorsal Gudea.",1660,1664,14,Sad,Neutral,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,B,117,Okay.,1664,1665,1,Happy,Positive,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,A,118,Does that create any barriers?,1666,1668,5,Happy,Positive,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,B,119,"Depending you may have to have another person in the room with you, depending on the patient demeanor. Just so the health care provider doesn't get, you know, injured.",1680,1696,29,Fear,Positive,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,A,120,"You know, the thoughts on the fact that the injection is restricted to the dorsal Ludio?",1705,1711,16,Fear,Negative,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,B,121,No.,1711,1711,1,Happy,Neutral,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,A,122,Would you need any additional training to give this injection? Yeah.,1719,1730,11,Fear,Positive,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,B,123,"I mean, you oftentimes don't use auto injector. So maybe, you know, just getting the use of the actual auto injector entry and then how to Minister is more of a technique with the device, as opposed to using a typical syringe and a needle itself.",1732,1754,46,Angry,Neutral,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,A,124,Okay. What percentage of your patients do you think might be reluctant to receive a dorsal gluteal injection?,1757,1772,18,Surprise,Neutral,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,B,125,"Well, percentage of cation, I would say maybe a third, 30, 35 or so.",1774,1783,14,Surprise,Positive,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,A,126,Alright. How much of a barrier would that be? Would you be able to talk them out of that or lay their fears or concerns? Would that keep a third of patients from not getting this? No.,1787,1801,37,Sad,Negative,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,B,127,"I mean, I think of the third. You can probably, you know, convince the other of that third. So maybe that would have an issue.",1802,1815,25,Fear,Positive,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,A,128,"Alright, now now I want you to answer these next questions as best you can. Right. So on a scale of one to 5 where one has, it means there's no impact whatsoever and five is very impactful. To what degree does choice of an injection site impact your health care professional choice of an atypical Lei. How much impact does it have? Not much or a lot.",1817,1849,68,Angry,Positive,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,B,129,I don't want the fine scale.,1851,1857,6,Happy,Negative,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,A,130,"Yeah, one not at all. And five a lot.",1857,1859,9,Sad,Positive,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,B,131,One that I'll find a lot. I would say probably four.,1863,1870,11,Fear,Neutral,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,A,132,Okay. And same scale. To what degree does the option for a deltoid injection site impact your HTPs la choice? I.,1870,1881,21,Angry,Positive,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,B,133,Would say five.,1883,1885,3,Surprise,Neutral,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,A,134,"Alright. And again, the same scale, to what degree would the restriction of part X one to a dorsal gluteal injection site have on the ACPs Lai choice.",1887,1903,28,Angry,Neutral,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,B,135,I would say five.,1906,1908,4,Surprise,Neutral,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,A,136,So very impactful.,1911,1913,3,Happy,Neutral,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,B,137,Then.,1913,1913,1,Happy,Neutral,none
1915_Almanac_NURSE_1902_PG_W-TDI_USA_22042020_10AM_EST.m4a,A,138,What other information would you want to see to help convince your healthcare professional to use this product to prescribe it for patients? I.,1916,1928,24,Surprise,Positive,none
